host_type,host_count,listing_count,avg_listings_per_host,avg_price,avg_rating,avg_reviews,avg_reviews_per_month,instant_bookable_percent
Regular Host,33207,53540,1.61,193.87,4.65,19.75,0.83,32.49
Superhost,8060,15584,1.93,187.22,4.86,51.29,1.6,27.62
